Move right
x=1 y=0Move down
x=1 y=-1Move up
x=1 y=0Move down
x=1 y=-1Move left
x=0 y=-1Move right
x=1 y=-1Move down
x=1 y=-2Move down
x=1 y=-3Move up
x=1 y=-2Move down
x=1 y=-3Move left
x=0 y=-3Move up
x=0 y=-2Move left
x=-1 y=-2Move left
x=-2 y=-2Move down
x=-2 y=-3Move up
x=-2 y=-2Move left
x=-3 y=-2Move up
x=-3 y=-1Move down
x=-3 y=-2Move right
x=-2 y=-2Move down
x=-2 y=-3Move down
x=-2 y=-4Move down
x=-2 y=-5Move left
x=-3 y=-5Move down
x=-3 y=-6Move down
x=-3 y=-7Move right
x=-2 y=-7Move up
x=-2 y=-6Move down
x=-2 y=-7Move left
x=-3 y=-7Move right
x=-2 y=-7Move down
x=-2 y=-8Move down
x=-2 y=-9Move left
x=-3 y=-9Move up
x=-3 y=-8Move down
x=-3 y=-9Move left
x=-4 y=-9Move left
x=-5 y=-9Move up
x=-5 y=-8Move up
x=-5 y=-7Move left
x=-6 y=-7Move right
x=-5 y=-7Move right
x=-4 y=-7Move right
x=-3 y=-7Move right
x=-2 y=-7Move right
x=-1 y=-7Move right
x=0 y=-7Move up
x=0 y=-6Move right
x=1 y=-6Move down
x=1 y=-7Move left
x=0 y=-7Move right
x=1 y=-7Move left
x=0 y=-7Move up
x=0 y=-6Move left
x=-1 y=-6Move right
x=0 y=-6Move left
x=-1 y=-6Move up
x=-1 y=-5Move up
x=-1 y=-4Move left
x=-2 y=-4Move down
x=-2 y=-5Move up
x=-2 y=-4Move right
x=-1 y=-4Move down
x=-1 y=-5Move up
x=-1 y=-4Move down
x=-1 y=-5Move down
x=-1 y=-6Move down
x=-1 y=-7Move down
x=-1 y=-8Move down
x=-1 y=-9Move up
x=-1 y=-8Move right
x=0 y=-8Move up
x=0 y=-7Move up
x=0 y=-6Move up
x=0 y=-5Move left
x=-1 y=-5Move right
x=0 y=-5Move right
x=1 y=-5Move up
x=1 y=-4Move left
x=0 y=-4Move up
x=0 y=-3Move right
x=1 y=-3Move up
x=1 y=-2Move left
x=0 y=-2Move right
x=1 y=-2Move up
x=1 y=-1Move left
x=0 y=-1Move right
x=1 y=-1Move right
x=2 y=-1Move down
x=2 y=-2Move right
x=3 y=-2Move right
x=4 y=-2Move right
x=5 y=-2Move up
x=5 y=-1Move up
x=5 y=0Move right
x=6 y=0Move down
x=6 y=-1Move up
x=6 y=0Move right
x=7 y=0Move up
x=7 y=1Move right
x=8 y=1Move right
x=9 y=1Move up
x=9 y=2Move right
x=10 y=2
